property_location,owners_name,owners_mailing_address,City/State/Zip,Yr. Built,Latitude,Longitude,property_full_address,gcode
16-134 WILMOT AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",2016.0,39.9443084,-75.0761823,"16-134 Wilmot Ave. Jersey City, NJ 07307","Wilmot Avenue, Stockton, Camden, Camden County, New Jersey, 08105, United States"
16-134 WILMOT AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",2016.0,39.9443084,-75.0761823,"16-134 Wilmot Ave. Jersey City, NJ 07307","Wilmot Avenue, Stockton, Camden, Camden County, New Jersey, 08105, United States"
326 DUNCAN AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.729646625,-74.08348612500001,"326 Duncan Ave. Jersey City, NJ 07307","326, Duncan Avenue, Marion, Jersey City, Hudson County, New Jersey, 07306, United States"
326 DUNCAN AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.729646625,-74.08348612500001,"326 Duncan Ave. Jersey City, NJ 07307","326, Duncan Avenue, Marion, Jersey City, Hudson County, New Jersey, 07306, United States"
326 DUNCAN AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.729646625,-74.08348612500001,"326 Duncan Ave. Jersey City, NJ 07307","326, Duncan Avenue, Marion, Jersey City, Hudson County, New Jersey, 07306, United States"
326 DUNCAN AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.729646625,-74.08348612500001,"326 Duncan Ave. Jersey City, NJ 07307","326, Duncan Avenue, Marion, Jersey City, Hudson County, New Jersey, 07306, United States"
326 DUNCAN AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.729646625,-74.08348612500001,"326 Duncan Ave. Jersey City, NJ 07307","326, Duncan Avenue, Marion, Jersey City, Hudson County, New Jersey, 07306, United States"
344-348 DUNCAN AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.730307,-74.08450571428571,"344-348 Duncan Ave. Jersey City, NJ 07307","344, Duncan Avenue, Jersey City, Hudson County, New Jersey, 07306, United States"
344-348 DUNCAN AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.730307,-74.08450571428571,"344-348 Duncan Ave. Jersey City, NJ 07307","344, Duncan Avenue, Jersey City, Hudson County, New Jersey, 07306, United States"
354 & 358 DUNCAN AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.730397,-74.084695,"354 & 358 Duncan Ave. Jersey City, NJ 07307","354, Duncan Avenue, Jersey City, Hudson County, New Jersey, 07306, United States"
354 & 358 DUNCAN AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",2014.0,40.730397,-74.084695,"354 & 358 Duncan Ave. Jersey City, NJ 07307","354, Duncan Avenue, Jersey City, Hudson County, New Jersey, 07306, United States"
39-85 HARVEY AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.558152,-74.34279930769232,"39-85 Harvey Ave. Jersey City, NJ 07307","39, Harvey Avenue, Menlo Park, Edison, Middlesex County, New Jersey, 08820, United States"
39-85 HARVEY AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.558152,-74.34279930769232,"39-85 Harvey Ave. Jersey City, NJ 07307","39, Harvey Avenue, Menlo Park, Edison, Middlesex County, New Jersey, 08820, United States"
229-235 FREEMAN AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",2016.0,40.730215333333334,-74.08187642424242,"229-235 Freeman Ave. Jersey City, NJ 07307","229, Freeman Avenue, Marion, Jersey City, Hudson County, New Jersey, 07306, United States"
349 WOODWARD ST.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S HIGHWAY 9,"JERSEY CITY, NJ  07306",,40.71669333333333,-74.05958666666666,"349 Woodward St. Jersey City, NJ 07307","349, Woodward Street, Jersey City, Hudson County, New Jersey, 07304, United States"
296 WOODWARD ST.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.71371343181818,-74.06343263636363,"296 Woodward St. Jersey City, NJ 07307","296, Woodward Street, Communipaw, Jersey City, Hudson County, New Jersey, 07304, United States"
306 WOODWARD ST.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.71611143333333,-74.0603795,"306 Woodward St. Jersey City, NJ 07307","306, Woodward Street, Jersey City, Hudson County, New Jersey, 07304, United States"
302-332 WOODWARD ST.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.716675,-74.0594576,"302-332 Woodward St. Jersey City, NJ 07307","Woodward Street, Jersey City, Hudson County, New Jersey, 07304, United States"
340 WOODWARD ST.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.71656933333333,-74.05975566666666,"340 Woodward St. Jersey City, NJ 07307","340, Woodward Street, Jersey City, Hudson County, New Jersey, 07304, United States"
511 GRAND ST.,HOUSING AUTHORITY OF JERSEY CITY,P.O. BOX 90708,"CAMDEN, NJ  08101",2016.0,40.71745457142857,-74.057642,"511 Grand St. Jersey City, NJ 07307","511, Grand Street, Jersey City, Hudson County, New Jersey, 07302, United States"
511 GRAND ST.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",2016.0,40.71745457142857,-74.057642,"511 Grand St. Jersey City, NJ 07307","511, Grand Street, Jersey City, Hudson County, New Jersey, 07302, United States"
507 GRAND ST.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.717436,-74.057496,"507 Grand St. Jersey City, NJ 07307","507, Grand Street, Jersey City, Hudson County, New Jersey, 07302, United States"
507 GRAND ST.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.717436,-74.057496,"507 Grand St. Jersey City, NJ 07307","507, Grand Street, Jersey City, Hudson County, New Jersey, 07302, United States"
VAN HORNE ST.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.7162675,-74.0586337,"Van Horne St. Jersey City, NJ 07307","Van Horne Street, Jersey City, Hudson County, New Jersey, 07302:07304, United States"
VAN HORNE ST.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.7162675,-74.0586337,"Van Horne St. Jersey City, NJ 07307","Van Horne Street, Jersey City, Hudson County, New Jersey, 07302:07304, United States"
471 PACIFIC AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",2008.0,39.365331714285716,-74.41553514285714,"471 Pacific Ave. Jersey City, NJ 07307","471, Pacific Avenue, Inlet, Atlantic City, Atlantic County, New Jersey, 08401, United States"
52 CARBON ST.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.93008877083333,-74.17414202083333,"52 Carbon St. Jersey City, NJ 07307","52, Carbon Street, Paterson, Passaic County, New Jersey, 07522, United States"
256 CARBON ST.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.93258293243243,-74.1770292972973,"256 Carbon St. Jersey City, NJ 07307","256, Carbon Street, Paterson, Passaic County, New Jersey, 07522, United States"
331 RANDOLPH AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY NO. 1,"JERSEY CITY, N.J.  07304",,40.71394829705004,-74.06883276101634,"331 Randolph Ave. Jersey City, NJ 07307","331, Randolph Avenue, Communipaw, Jersey City, Hudson County, New Jersey, 07304, United States"
380-390 ARLINGTON AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07304",,40.7140185,-74.07004108333334,"380-390 Arlington Ave. Jersey City, NJ 07307","380, Arlington Avenue, Jersey City, Hudson County, New Jersey, 07304, United States"
380-390 ARLINGTON AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07304",,40.7140185,-74.07004108333334,"380-390 Arlington Ave. Jersey City, NJ 07307","380, Arlington Avenue, Jersey City, Hudson County, New Jersey, 07304, United States"
254 BERGEN AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07305",0.0,40.7108312,-74.08317980000001,"254 Bergen Ave. Jersey City, NJ 07307","254, Bergen Avenue, West Bergen, Jersey City, Hudson County, New Jersey, 07305, United States"
254 BERGEN AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07305",,40.7108312,-74.08317980000001,"254 Bergen Ave. Jersey City, NJ 07307","254, Bergen Avenue, West Bergen, Jersey City, Hudson County, New Jersey, 07305, United States"
140 STEGMAN ST.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, N.J.  07306",1995.0,40.70424860865753,-74.08317693897914,"140 Stegman St. Jersey City, NJ 07307","140, Stegman Street, Jersey City, Hudson County, New Jersey, 07305, United States"
146 STEGMAN ST.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, N.J.  07306",,40.7043551448767,-74.08333558530552,"146 Stegman St. Jersey City, NJ 07307","146, Stegman Street, Jersey City, Hudson County, New Jersey, 07305, United States"
148 STEGMAN ST.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, N.J.  07306",1995.0,40.70439065694976,-74.08338846741431,"148 Stegman St. Jersey City, NJ 07307","148, Stegman Street, Jersey City, Hudson County, New Jersey, 07305, United States"
176 DWIGHT ST.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07306",1995.0,40.704492681863876,-74.08504434677523,"176 Dwight St. Jersey City, NJ 07307","176, Dwight Street, Greenville, Jersey City, Hudson County, New Jersey, 07305, United States"
125 DWIGHT ST.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, N.J.  07306",1995.0,40.70340553449204,-74.08370146991297,"125 Dwight St. Jersey City, NJ 07307","125, Dwight Street, Greenville, Jersey City, Hudson County, New Jersey, 07305, United States"
107 DWIGHT ST.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, N.J.  07306",1995.0,40.70293154545455,-74.08299145454545,"107 Dwight St. Jersey City, NJ 07307","107, Dwight Street, Greenville, Jersey City, Hudson County, New Jersey, 07305, United States"
103 DWIGHT ST.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, N.J.  07306",1995.0,40.70285481818182,-74.08287918181817,"103 Dwight St. Jersey City, NJ 07307","103, Dwight Street, Greenville, Jersey City, Hudson County, New Jersey, 07305, United States"
199 OCEAN AVENUE,HOUSING AUTHORITY OF JERSEY CITY,514 NEWARK AVENUE,"JERSEY CITY, NJ  07306",1965.0,40.695015,-74.09157,"199 Ocean Avenue Jersey City, NJ 07307","199, Ocean Avenue, Greenville, Jersey City, Hudson County, New Jersey, 07305, United States"
92 DANFORTH AVENUE,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07306",20.0,40.695390079836805,-74.09032824176747,"92 Danforth Avenue Jersey City, NJ 07307","92, Danforth Avenue, Greenville, Jersey City, Hudson County, New Jersey, 07305, United States"
71 CATOR AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07306",1925.0,40.69507155172413,-74.08913389655173,"71 Cator Ave. Jersey City, NJ 07307","71, Cator Avenue, Greenville, Jersey City, Hudson County, New Jersey, 07305, United States"
72 DANFORTH AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07306",1.0,40.69469387629626,-74.08974214695704,"72 Danforth Ave. Jersey City, NJ 07307","72, Danforth Avenue, Greenville, Jersey City, Hudson County, New Jersey, 07305, United States"
82 DANFORTH AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07306",1.0,40.695041905640984,-74.09003528040205,"82 Danforth Ave. Jersey City, NJ 07307","82, Danforth Avenue, Greenville, Jersey City, Hudson County, New Jersey, 07305, United States"
15 OLD BERGEN RD.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07306",,40.69018627272727,-74.09818690909091,"15 Old Bergen Rd. Jersey City, NJ 07307","15, Old Bergen Road, Jersey City, Hudson County, New Jersey, 07305, United States"
61 MERRITT ST.,HOUSING AUTHORITY OF JERSEY CITY,400 US HIGHWAY 1,"JERSEY CITY, NJ  07306",,40.6888175,-74.0973369,"61 Merritt St. Jersey City, NJ 07307","Merritt Street, Jersey City, Hudson County, New Jersey, 07305, United States"
