code,municipality
1612,Totowa Boro
1613,Wanaque Boro
1614,Wayne Twp
1615,West Milford
1616,Woodland Park
1701,Alloway Township
1702,Carneys Point
1703,Elmer Boro
1704,Elsinboro Twp
1705,Lower Alloway
1706,Mannington Twp
1707,Oldmans Twp
1708,Penns Grove
1709,Pennsville Twp
1710,Pilesgrove Twp
1711,Pittsgrove Twp
1712,Quinton Twp
1713,Salem City
1714,Upper Pittsgrove
1715,Woodstown Boro
1801,Bedminster Twp
1802,Bernards Twp
1803,Bernardsville Boro
1804,Bound Brook
1805,Branchburg Twp
1806,Bridgewater Twp
1807,Far Hills
1808,Franklin Twp
1809,Green Brook
1810,Hillsborough Twp
1811,Manville Boro
1812,Millstone Boro
1813,Montgomery Twp
1814,North Plainfield
1815,Peapack Gladstone
1816,Raritan Boro
1817,Rocky Hill
1818,Somerville Boro
1819,So Bound
1820,Warren Twp
1821,Watchung Boro
